Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,PyG netas %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %
1,Salida en corto,2026-03-17 01:45,Scripted Exit All,0.006323,1,79168.75,131.25,0.17,181.25,0.23,-106.25,-0.13,131.25,1.31
1,Entrada en corto,2026-03-16 14:20,Scripted Short,0.0063335,1,79168.75,131.25,0.17,181.25,0.23,-106.25,-0.13,131.25,1.31
2,Salida en corto,2026-03-18 20:55,Scripted Exit All,0.0063035,1,79068.75,275,0.35,331.25,0.42,-337.5,-0.43,406.25,4.06
2,Entrada en corto,2026-03-17 03:25,Scripted Short,0.0063255,1,79068.75,275,0.35,331.25,0.42,-337.5,-0.43,406.25,4.06
3,Salida en corto,2026-03-20 04:35,Scripted Exit All,0.00636,1,79543.75,43.75,0.06,50,0.06,-18.75,-0.02,450,4.50
3,Entrada en corto,2026-03-20 04:00,Scripted Short,0.0063635,1,79543.75,43.75,0.06,50,0.06,-18.75,-0.02,450,4.50
4,Salida en largo,2026-03-22 19:05,Scripted Short,0.006328,1,79306.25,-206.25,-0.26,12.5,0.02,-356.25,-0.45,243.75,2.44
4,Entrada en largo,2026-03-20 09:10,Scripted Long,0.0063445,1,79306.25,-206.25,-0.26,12.5,0.02,-356.25,-0.45,243.75,2.44
5,Salida en corto,2026-03-22 20:35,Scripted Long,0.006322,1,79100,75,0.09,81.25,0.10,-87.5,-0.11,318.75,3.19
5,Entrada en corto,2026-03-22 19:05,Scripted Short,0.006328,1,79100,75,0.09,81.25,0.10,-87.5,-0.11,318.75,3.19
6,Salida en largo,2026-03-23 03:05,Scripted Short,0.0063175,1,79025,-56.25,-0.07,6.25,0.01,-168.75,-0.21,262.5,2.63
6,Entrada en largo,2026-03-22 20:35,Scripted Long,0.006322,1,79025,-56.25,-0.07,6.25,0.01,-168.75,-0.21,262.5,2.63
7,Salida en corto,2026-03-23 05:35,Scripted Exit All,0.0063135,1,78968.75,50,0.06,100,0.13,-62.5,-0.08,312.5,3.13
7,Entrada en corto,2026-03-23 03:05,Scripted Short,0.0063175,1,78968.75,50,0.06,100,0.13,-62.5,-0.08,312.5,3.13
8,Salida en corto,2026-03-23 19:50,Scripted Exit All,0.006356,1,79512.5,62.5,0.08,81.25,0.10,-168.75,-0.21,375,3.75
8,Entrada en corto,2026-03-23 14:15,Scripted Short,0.006361,1,79512.5,62.5,0.08,81.25,0.10,-168.75,-0.21,375,3.75
9,Salida en corto,2026-03-24 02:20,Scripted Exit All,0.0063465,1,79381.25,50,0.06,50,0.06,-18.75,-0.02,425,4.25
9,Entrada en corto,2026-03-24 01:45,Scripted Short,0.0063505,1,79381.25,50,0.06,50,0.06,-18.75,-0.02,425,4.25
10,Salida en corto,2026-03-24 16:00,Scripted Exit All,0.006335,1,79312.5,125,0.16,237.5,0.30,-81.25,-0.10,550,5.50
10,Entrada en corto,2026-03-24 10:15,Scripted Short,0.006345,1,79312.5,125,0.16,237.5,0.30,-81.25,-0.10,550,5.50
11,Salida en corto,2026-03-24 19:05,Scripted Exit All,0.006344,1,79406.25,106.25,0.13,125,0.16,-81.25,-0.10,656.25,6.56
11,Entrada en corto,2026-03-24 16:25,Scripted Short,0.0063525,1,79406.25,106.25,0.13,125,0.16,-81.25,-0.10,656.25,6.56
12,Salida en corto,2026-03-25 20:20,Scripted Exit All,0.006315,1,79193.75,256.25,0.32,281.25,0.36,-112.5,-0.14,912.5,9.13
12,Entrada en corto,2026-03-25 04:15,Scripted Short,0.0063355,1,79193.75,256.25,0.32,281.25,0.36,-112.5,-0.14,912.5,9.13
13,Salida en corto,2026-03-25 23:45,Scripted Exit All,0.0063135,1,78937.5,18.75,0.02,25,0.03,0,0.00,931.25,9.31
13,Entrada en corto,2026-03-25 23:35,Scripted Short,0.006315,1,78937.5,18.75,0.02,25,0.03,0,0.00,931.25,9.31
14,Salida en corto,2026-03-26 11:20,Scripted Exit All,0.006308,1,78962.5,112.5,0.14,168.75,0.21,-37.5,-0.05,1043.75,10.44
14,Entrada en corto,2026-03-26 02:50,Scripted Short,0.006317,1,78962.5,112.5,0.14,168.75,0.21,-37.5,-0.05,1043.75,10.44
15,Salida en corto,2026-03-27 10:30,Scripted Exit All,0.006296,1,78731.25,31.25,0.04,62.5,0.08,-18.75,-0.02,1075,10.75
15,Entrada en corto,2026-03-27 08:45,Scripted Short,0.0062985,1,78731.25,31.25,0.04,62.5,0.08,-18.75,-0.02,1075,10.75
16,Salida en corto,2026-03-27 11:50,Scripted Exit All,0.006298,1,78768.75,43.75,0.06,50,0.06,-12.5,-0.02,1118.75,11.19
16,Entrada en corto,2026-03-27 11:35,Scripted Short,0.0063015,1,78768.75,43.75,0.06,50,0.06,-12.5,-0.02,1118.75,11.19
17,Salida en corto,2026-03-27 16:30,Scripted Exit All,0.006282,1,78575,50,0.06,56.25,0.07,0,0.00,1168.75,11.69
17,Entrada en corto,2026-03-27 16:05,Scripted Short,0.006286,1,78575,50,0.06,56.25,0.07,0,0.00,1168.75,11.69
18,Salida en corto,2026-03-31 20:55,Scripted Long,0.006336,1,78525,-675,-0.86,12.5,0.02,-862.5,-1.10,493.75,4.94
18,Entrada en corto,2026-03-29 20:00,Scripted Short,0.006282,1,78525,-675,-0.86,12.5,0.02,-862.5,-1.10,493.75,4.94
19,Salida en largo,2026-03-31 22:55,Scripted Exit All,0.0063405,1,79200,56.25,0.07,75,0.09,-93.75,-0.12,550,5.50
19,Entrada en largo,2026-03-31 20:55,Scripted Long,0.006336,1,79200,56.25,0.07,75,0.09,-93.75,-0.12,550,5.50
20,Salida en corto,2026-04-01 04:00,Scripted Long,0.006337,1,79250,37.5,0.05,37.5,0.05,-225,-0.28,587.5,5.88
20,Entrada en corto,2026-04-01 01:45,Scripted Short,0.00634,1,79250,37.5,0.05,37.5,0.05,-225,-0.28,587.5,5.88
21,Salida en largo,2026-04-01 04:35,Scripted Exit All,0.0063475,1,79212.5,131.25,0.17,137.5,0.17,-37.5,-0.05,718.75,7.19
21,Entrada en largo,2026-04-01 04:00,Scripted Long,0.006337,1,79212.5,131.25,0.17,137.5,0.17,-37.5,-0.05,718.75,7.19
22,Salida en largo,2026-04-01 11:05,Scripted Short,0.006351,1,79312.5,75,0.09,87.5,0.11,-143.75,-0.18,793.75,7.94
22,Entrada en largo,2026-04-01 09:05,Scripted Long,0.006345,1,79312.5,75,0.09,87.5,0.11,-143.75,-0.18,793.75,7.94
23,Salida en corto,2026-04-01 11:30,Scripted Exit All,0.0063435,1,79387.5,93.75,0.12,100,0.13,-6.25,-0.01,887.5,8.88
23,Entrada en corto,2026-04-01 11:05,Scripted Short,0.006351,1,79387.5,93.75,0.12,100,0.13,-6.25,-0.01,887.5,8.88
24,Salida en corto,2026-04-03 01:00,Scripted Exit All,0.0063025,1,79250,468.75,0.59,531.25,0.67,-68.75,-0.09,1356.25,13.56
24,Entrada en corto,2026-04-01 18:30,Scripted Short,0.00634,1,79250,468.75,0.59,531.25,0.67,-68.75,-0.09,1356.25,13.56
25,Salida en corto,2026-04-03 05:15,Scripted Exit All,0.006303,1,78800,12.5,0.02,50,0.06,-18.75,-0.02,1368.75,13.69
25,Entrada en corto,2026-04-03 03:25,Scripted Short,0.006304,1,78800,12.5,0.02,50,0.06,-18.75,-0.02,1368.75,13.69
26,Salida en corto,2026-04-06 15:15,Scripted Exit All,0.006299,1,78818.75,81.25,0.10,193.75,0.25,-112.5,-0.14,1450,14.50
26,Entrada en corto,2026-04-03 07:55,Scripted Short,0.0063055,1,78818.75,81.25,0.10,193.75,0.25,-112.5,-0.14,1450,14.50
27,Salida en corto,2026-04-06 18:30,Scripted Exit All,0.0063,1,78775,25,0.03,31.25,0.04,-12.5,-0.02,1475,14.75
27,Entrada en corto,2026-04-06 18:05,Scripted Short,0.006302,1,78775,25,0.03,31.25,0.04,-12.5,-0.02,1475,14.75
28,Salida en corto,2026-04-07 13:00,Scripted Exit All,0.0062905,1,78681.25,50,0.06,118.75,0.15,-175,-0.22,1525,15.25
28,Entrada en corto,2026-04-07 00:30,Scripted Short,0.0062945,1,78681.25,50,0.06,118.75,0.15,-175,-0.22,1525,15.25
29,Salida en corto,2026-04-07 15:00,Scripted Exit All,0.0062925,1,78700,43.75,0.06,56.25,0.07,-31.25,-0.04,1568.75,15.69
29,Entrada en corto,2026-04-07 13:40,Scripted Short,0.006296,1,78700,43.75,0.06,56.25,0.07,-31.25,-0.04,1568.75,15.69
30,Salida en largo,2026-04-09 07:35,Scripted Short,0.006326,1,79418.75,-343.75,-0.43,56.25,0.07,-431.25,-0.54,1225,12.25
30,Entrada en largo,2026-04-08 09:40,Scripted Long,0.0063535,1,79418.75,-343.75,-0.43,56.25,0.07,-431.25,-0.54,1225,12.25
31,Salida en corto,2026-04-09 22:25,Scripted Exit All,0.006316,1,79075,125,0.16,181.25,0.23,-156.25,-0.20,1350,13.50
31,Entrada en corto,2026-04-09 07:35,Scripted Short,0.006326,1,79075,125,0.16,181.25,0.23,-156.25,-0.20,1350,13.50
32,Salida en corto,2026-04-13 04:35,Scripted Exit All,0.0062965,1,78918.75,212.5,0.27,325,0.41,-200,-0.25,1562.5,15.63
32,Entrada en corto,2026-04-10 05:20,Scripted Short,0.0063135,1,78918.75,212.5,0.27,325,0.41,-200,-0.25,1562.5,15.63
33,Salida en largo,2026-04-13 06:50,Scripted Exit All,0.0062955,1,78687.5,6.25,0.01,18.75,0.02,-25,-0.03,1568.75,15.69
33,Entrada en largo,2026-04-13 04:55,Scripted Long,0.006295,1,78687.5,6.25,0.01,18.75,0.02,-25,-0.03,1568.75,15.69
34,Salida en corto,2026-04-13 09:15,Scripted Exit All,0.006292,1,78687.5,37.5,0.05,43.75,0.06,-12.5,-0.02,1606.25,16.06
34,Entrada en corto,2026-04-13 08:55,Scripted Short,0.006295,1,78687.5,37.5,0.05,43.75,0.06,-12.5,-0.02,1606.25,16.06
35,Salida en corto,2026-04-24 01:10,Scripted Exit All,0.0062845,1,78750,193.75,0.25,218.75,0.28,-950,-1.21,1800,18.00
35,Entrada en corto,2026-04-13 12:40,Scripted Short,0.0063,1,78750,193.75,0.25,218.75,0.28,-950,-1.21,1800,18.00
36,Salida en corto,2026-04-29 04:05,Scripted Exit All,0.006287,1,78606.25,18.75,0.02,68.75,0.09,-350,-0.45,1818.75,18.19
36,Entrada en corto,2026-04-24 02:40,Scripted Short,0.0062885,1,78606.25,18.75,0.02,68.75,0.09,-350,-0.45,1818.75,18.19
37,Salida en corto,2026-04-29 22:30,Scripted Exit All,0.0062595,1,78331.25,87.5,0.11,156.25,0.20,-31.25,-0.04,1906.25,19.06
37,Entrada en corto,2026-04-29 14:00,Scripted Short,0.0062665,1,78331.25,87.5,0.11,156.25,0.20,-31.25,-0.04,1906.25,19.06
38,Salida en corto,2026-04-30 03:45,Scripted Exit All,0.0062495,1,78168.75,50,0.06,62.5,0.08,0,0.00,1956.25,19.56
38,Entrada en corto,2026-04-30 03:20,Scripted Short,0.0062535,1,78168.75,50,0.06,62.5,0.08,0,0.00,1956.25,19.56
39,Salida en corto,2026-05-01 00:25,Scripted Exit All,0.006384,1,79850,50,0.06,81.25,0.10,0,0.00,2006.25,20.06
39,Entrada en corto,2026-04-30 23:40,Scripted Short,0.006388,1,79850,50,0.06,81.25,0.10,0,0.00,2006.25,20.06
40,Salida en corto,2026-05-04 21:15,Scripted Exit All,0.0063805,1,79812.5,56.25,0.07,81.25,0.10,-850,-1.06,2062.5,20.63
40,Entrada en corto,2026-05-01 02:40,Scripted Short,0.006385,1,79812.5,56.25,0.07,81.25,0.10,-850,-1.06,2062.5,20.63
41,Salida en corto,2026-05-05 11:20,Scripted Exit All,0.006362,1,79787.5,262.5,0.33,362.5,0.45,-62.5,-0.08,2325,23.25
41,Entrada en corto,2026-05-05 03:05,Scripted Short,0.006383,1,79787.5,262.5,0.33,362.5,0.45,-62.5,-0.08,2325,23.25
42,Salida en corto,2026-05-13 00:25,Scripted Exit All,0.006359,1,79500,12.5,0.02,62.5,0.08,-1406.25,-1.77,2337.5,23.38
42,Entrada en corto,2026-05-05 18:55,Scripted Short,0.00636,1,79500,12.5,0.02,62.5,0.08,-1406.25,-1.77,2337.5,23.38
43,Salida en corto,2026-05-13 03:40,Scripted Exit All,0.006357,1,79487.5,25,0.03,31.25,0.04,-12.5,-0.02,2362.5,23.63
43,Entrada en corto,2026-05-13 03:25,Scripted Short,0.006359,1,79487.5,25,0.03,31.25,0.04,-12.5,-0.02,2362.5,23.63
44,Salida en corto,2026-05-13 08:25,Scripted Exit All,0.006354,1,79456.25,31.25,0.04,31.25,0.04,-6.25,-0.01,2393.75,23.94
44,Entrada en corto,2026-05-13 07:35,Scripted Short,0.0063565,1,79456.25,31.25,0.04,31.25,0.04,-6.25,-0.01,2393.75,23.94
45,Salida en corto,2026-05-13 10:20,Scripted Exit All,0.006353,1,79443.75,31.25,0.04,37.5,0.05,-12.5,-0.02,2425,24.25
45,Entrada en corto,2026-05-13 09:45,Scripted Short,0.0063555,1,79443.75,31.25,0.04,37.5,0.05,-12.5,-0.02,2425,24.25
46,Salida en corto,2026-05-14 05:45,Scripted Exit All,0.006349,1,79387.5,25,0.03,50,0.06,-62.5,-0.08,2450,24.50
46,Entrada en corto,2026-05-14 00:10,Scripted Short,0.006351,1,79387.5,25,0.03,50,0.06,-62.5,-0.08,2450,24.50
47,Salida en corto,2026-05-15 07:35,Scripted Exit All,0.0063235,1,79056.25,12.5,0.02,56.25,0.07,-106.25,-0.13,2462.5,24.63
47,Entrada en corto,2026-05-15 02:35,Scripted Short,0.0063245,1,79056.25,12.5,0.02,56.25,0.07,-106.25,-0.13,2462.5,24.63
48,Salida en corto,2026-05-18 03:15,Scripted Exit All,0.006306,1,78868.75,43.75,0.06,62.5,0.08,-12.5,-0.02,2506.25,25.06
48,Entrada en corto,2026-05-18 02:20,Scripted Short,0.0063095,1,78868.75,43.75,0.06,62.5,0.08,-12.5,-0.02,2506.25,25.06
49,Salida en corto,2026-05-18 05:55,Scripted Exit All,0.0063075,1,78881.25,37.5,0.05,50,0.06,-25,-0.03,2543.75,25.44
49,Entrada en corto,2026-05-18 03:30,Scripted Short,0.0063105,1,78881.25,37.5,0.05,50,0.06,-25,-0.03,2543.75,25.44
50,Salida en corto,2026-05-19 04:25,Scripted Exit All,0.0063005,1,78862.5,106.25,0.13,143.75,0.18,-62.5,-0.08,2650,26.50
50,Entrada en corto,2026-05-18 15:05,Scripted Short,0.006309,1,78862.5,106.25,0.13,143.75,0.18,-62.5,-0.08,2650,26.50
51,Salida en corto,2026-05-19 14:30,Scripted Exit All,0.006303,1,78812.5,25,0.03,150,0.19,-93.75,-0.12,2675,26.75
51,Entrada en corto,2026-05-19 08:45,Scripted Short,0.006305,1,78812.5,25,0.03,150,0.19,-93.75,-0.12,2675,26.75
52,Salida en corto,2026-05-19 20:00,Scripted Exit All,0.006301,1,78787.5,25,0.03,31.25,0.04,-6.25,-0.01,2700,27.00
52,Entrada en corto,2026-05-19 19:35,Scripted Short,0.006303,1,78787.5,25,0.03,31.25,0.04,-6.25,-0.01,2700,27.00
53,Salida en corto,2026-05-19 21:30,Scripted Exit All,0.0063,1,78787.5,37.5,0.05,37.5,0.05,-6.25,-0.01,2737.5,27.38
53,Entrada en corto,2026-05-19 20:55,Scripted Short,0.006303,1,78787.5,37.5,0.05,37.5,0.05,-6.25,-0.01,2737.5,27.38
54,Salida en corto,2026-05-20 02:40,Scripted Exit All,0.0063045,1,78818.75,12.5,0.02,31.25,0.04,-56.25,-0.07,2750,27.50
54,Entrada en corto,2026-05-19 22:25,Scripted Short,0.0063055,1,78818.75,12.5,0.02,31.25,0.04,-56.25,-0.07,2750,27.50
55,Salida en corto,2026-05-20 07:10,Scripted Exit All,0.006301,1,78800,37.5,0.05,37.5,0.05,-6.25,-0.01,2787.5,27.88
55,Entrada en corto,2026-05-20 06:40,Scripted Short,0.006304,1,78800,37.5,0.05,37.5,0.05,-6.25,-0.01,2787.5,27.88
56,Salida en corto,2026-05-20 21:55,Scripted Exit All,0.0063055,1,78818.75,0,0.00,43.75,0.06,-175,-0.22,2787.5,27.88
56,Entrada en corto,2026-05-20 10:20,Scripted Short,0.0063055,1,78818.75,0,0.00,43.75,0.06,-175,-0.22,2787.5,27.88
57,Salida en corto,2026-05-21 23:55,Scripted Exit All,0.006299,1,78775,37.5,0.05,206.25,0.26,-75,-0.10,2825,28.25
57,Entrada en corto,2026-05-21 04:05,Scripted Short,0.006302,1,78775,37.5,0.05,206.25,0.26,-75,-0.10,2825,28.25
58,Salida en corto,2026-05-22 14:30,Scripted Exit All,0.0062945,1,78712.5,31.25,0.04,68.75,0.09,-56.25,-0.07,2856.25,28.56
58,Entrada en corto,2026-05-22 08:15,Scripted Short,0.006297,1,78712.5,31.25,0.04,68.75,0.09,-56.25,-0.07,2856.25,28.56
59,Salida en corto,2026-05-25 06:30,Scripted Exit All,0.006303,1,78800,12.5,0.02,18.75,0.02,0,0.00,2868.75,28.69
59,Entrada en corto,2026-05-25 05:05,Scripted Short,0.006304,1,78800,12.5,0.02,18.75,0.02,0,0.00,2868.75,28.69
60,Salida en corto,2026-05-25 09:50,Scripted Exit All,0.0063035,1,78812.5,18.75,0.02,18.75,0.02,0,0.00,2887.5,28.88
60,Entrada en corto,2026-05-25 08:50,Scripted Short,0.006305,1,78812.5,18.75,0.02,18.75,0.02,0,0.00,2887.5,28.88
61,Salida en corto,2026-05-26 07:35,Scripted Exit All,0.006293,1,78687.5,25,0.03,25,0.03,-6.25,-0.01,2912.5,29.13
61,Entrada en corto,2026-05-26 06:35,Scripted Short,0.006295,1,78687.5,25,0.03,25,0.03,-6.25,-0.01,2912.5,29.13
62,Salida en corto,2026-05-27 09:00,Scripted Exit All,0.0062825,1,78593.75,62.5,0.08,75,0.10,-62.5,-0.08,2975,29.75
62,Entrada en corto,2026-05-26 14:55,Scripted Short,0.0062875,1,78593.75,62.5,0.08,75,0.10,-62.5,-0.08,2975,29.75
63,Salida en corto,2026-06-01 13:25,Scripted Exit All,0.00627,1,78462.5,87.5,0.11,156.25,0.20,-206.25,-0.26,3062.5,30.63
63,Entrada en corto,2026-05-28 00:15,Scripted Short,0.006277,1,78462.5,87.5,0.11,156.25,0.20,-206.25,-0.26,3062.5,30.63
64,Salida en corto,2026-06-02 20:55,Scripted Exit All,0.0062585,1,78350,118.75,0.15,175,0.22,-31.25,-0.04,3181.25,31.81
64,Entrada en corto,2026-06-02 02:30,Scripted Short,0.006268,1,78350,118.75,0.15,175,0.22,-31.25,-0.04,3181.25,31.81
65,Salida en corto,2026-06-03 08:10,Scripted Exit All,0.006262,1,78312.5,37.5,0.05,56.25,0.07,-200,-0.26,3218.75,32.19
65,Entrada en corto,2026-06-03 03:35,Scripted Short,0.006265,1,78312.5,37.5,0.05,56.25,0.07,-200,-0.26,3218.75,32.19
66,Salida en corto,2026-06-05 02:15,Scripted Exit All,0.0062555,1,78225,31.25,0.04,68.75,0.09,-162.5,-0.21,3250,32.50
66,Entrada en corto,2026-06-03 19:00,Scripted Short,0.006258,1,78225,31.25,0.04,68.75,0.09,-162.5,-0.21,3250,32.50
67,Salida en corto,2026-06-05 04:00,Scripted Exit All,0.0062565,1,78218.75,12.5,0.02,18.75,0.02,-6.25,-0.01,3262.5,32.63
67,Entrada en corto,2026-06-05 03:30,Scripted Short,0.0062575,1,78218.75,12.5,0.02,18.75,0.02,-6.25,-0.01,3262.5,32.63
68,Salida en corto,2026-06-05 06:00,Scripted Exit All,0.0062565,1,78218.75,12.5,0.02,18.75,0.02,-6.25,-0.01,3275,32.75
68,Entrada en corto,2026-06-05 05:15,Scripted Short,0.0062575,1,78218.75,12.5,0.02,18.75,0.02,-6.25,-0.01,3275,32.75
69,Salida en corto,2026-06-05 10:25,Scripted Exit All,0.0062455,1,78225,156.25,0.20,181.25,0.23,-87.5,-0.11,3431.25,34.31
69,Entrada en corto,2026-06-05 07:05,Scripted Short,0.006258,1,78225,156.25,0.20,181.25,0.23,-87.5,-0.11,3431.25,34.31
70,Salida en corto,2026-06-05 16:15,Scripted Exit All,0.006245,1,78100,37.5,0.05,43.75,0.06,-25,-0.03,3468.75,34.69
70,Entrada en corto,2026-06-05 14:40,Scripted Short,0.006248,1,78100,37.5,0.05,43.75,0.06,-25,-0.03,3468.75,34.69
71,Salida en corto,2026-06-08 00:45,Scripted Exit All,0.0062405,1,78025,18.75,0.02,18.75,0.02,0,0.00,3487.5,34.88
71,Entrada en corto,2026-06-08 00:15,Scripted Short,0.006242,1,78025,18.75,0.02,18.75,0.02,0,0.00,3487.5,34.88
72,Salida en corto,2026-06-09 21:55,Scripted Exit All,0.0062375,1,78031.25,62.5,0.08,93.75,0.12,-218.75,-0.28,3550,35.50
72,Entrada en corto,2026-06-08 01:25,Scripted Short,0.0062425,1,78031.25,62.5,0.08,93.75,0.12,-218.75,-0.28,3550,35.50
73,Salida en corto,2026-06-10 12:45,Scripted Exit All,0.0062335,1,77943.75,25,0.03,106.25,0.14,-56.25,-0.07,3575,35.75
73,Entrada en corto,2026-06-10 08:30,Scripted Short,0.0062355,1,77943.75,25,0.03,106.25,0.14,-56.25,-0.07,3575,35.75
74,Salida en corto,2026-06-11 04:55,Scripted Exit All,0.0062305,1,77893.75,12.5,0.02,43.75,0.06,-37.5,-0.05,3587.5,35.88
74,Entrada en corto,2026-06-10 20:05,Scripted Short,0.0062315,1,77893.75,12.5,0.02,43.75,0.06,-37.5,-0.05,3587.5,35.88
75,Salida en corto,2026-06-11 12:05,Scripted Exit All,0.0062305,1,77900,18.75,0.02,31.25,0.04,-18.75,-0.02,3606.25,36.06
75,Entrada en corto,2026-06-11 09:50,Scripted Short,0.006232,1,77900,18.75,0.02,31.25,0.04,-18.75,-0.02,3606.25,36.06
76,Salida en corto,2026-06-22 07:40,Scripted Exit All,0.0062245,1,77950,143.75,0.18,168.75,0.22,-868.75,-1.11,3750,37.50
76,Entrada en corto,2026-06-11 13:30,Scripted Short,0.006236,1,77950,143.75,0.18,168.75,0.22,-868.75,-1.11,3750,37.50
77,Salida en corto,2026-06-24 13:10,Scripted Exit All,0.006222,1,77850,75,0.10,93.75,0.12,-281.25,-0.36,3825,38.25
77,Entrada en corto,2026-06-22 10:10,Scripted Short,0.006228,1,77850,75,0.10,93.75,0.12,-281.25,-0.36,3825,38.25
78,Salida en corto,2026-06-26 16:55,Apertura,0.0062215,1,77775,6.25,0.01,100,0.13,-100,-0.13,3831.25,38.31
78,Entrada en corto,2026-06-24 20:05,Scripted Short,0.006222,1,77775,6.25,0.01,100,0.13,-100,-0.13,3831.25,38.31